Deutsch;english
Gesch채ftsleitung;management
Kunde;customer
Kunden;customers
Kundendienst;customer service
Interne Dienstleistung;internal service
Produktionsdienstleistung;production service
Produktion;production
Lieferant;supplier
Lieferanten;suppliers
Spielleitung;game master
LT;MG
K;C
KD;CS
IDL;ITS
PDL;PRS
PRO;PRO
L;SUP
SL;GM
Wareneingang;goods receipt
Warenentnahme;goods withdrawal
Inventurbuchung;inventory correction
Systemkorrektur;system correction
(unbekannt);(unknown)
aktiv;active
inaktiv;inactive
wird bestellt;being ordered
freigegeben;approved
wird bearbeitet;in progress
Bearbeitung abgeschlossen;processing complete
wird produziert;being produced
abgeschlossen;done
geliefert;delivered
reklamiert;complained
abgenommen;accepted
bestellt;ordered
wird erstellt;being created
erhalten;received
nicht zugewiesen;unassigned
zugewiesen;assigned
wird verfasst;being composed
gesendet;sent
gelesen;read
Bestellung freigeben;approve order
Bestellung an Lieferanten;order to supplier
Box zur Verf체gung stellen;provide box
Qualit채tskontrolle durchf체hren;perform quality control
Organisationseinheit;organizational unit
Organisationseinheiten;organizational units
Admin;admin
ADM;ADM
Kunde 1;customer 1
Kunde 2;customer 2
Kunde 3;customer 3
Lieferant 100;supplier 100
Lieferant 200;supplier 200
Lieferant 300;supplier 300
K1;C1
K2;C2
K3;C3
L1;S1
L2;S2
L3;S3
JOGA;JOGA
JOG;JOG